"visitor_id","lead_id","amount","created_at","closing_reason","learning_format","status_id"
a282bac9d452772d5c14e138456da1722e9448a0,"7268992",0,2023-06-24 06:54:31.000,Не реализовано,group,143
"17454992825c0e9f2a22beccf29870a8f205a91c","7325781",0,2023-06-14 17:02:00.000,Не реализовано,group,143
"33232aba97d89e617aa8f4b1fa7fef8261f44cb4","7382570",0,2023-06-18 17:39:05.000,Не реализовано,group,143
d5fd0d8ee10186db9b0355980f3c72dbe35b9e5d,"7439359",0,2023-06-19 11:37:36.000,Не реализовано,group,143
"53c73174135073411075cc5aa86537b00d27e73a","7496148",0,2023-06-11 09:14:09.000,Не реализовано,group,143
"00e675b502b500cefacddf8bbd9685f7d2a1aea4","7552937",0,2023-06-09 12:56:15.000,Не реализовано,group,143
"9353552be5d9797a920ed780afa2a3e24969636f","7609726",0,2023-06-01 00:21:44.000,Не реализовано,group,143
"0d4b4990da59c2da27703c90e2b0c3f2f76431e1","7666515",0,2023-06-07 14:34:27.000,Не реализовано,group,143
b8d1b3211f60215c6a47f25738ede4cb0c03d79a,"7723304",0,2023-06-24 16:06:28.000,Не реализовано,group,143
"468f017cfc7e87af7b9f6c6eef76843a5302b856","7780093",0,2023-06-08 14:06:19.000,Не реализовано,group,143
e2c7080f784b58952ac81130689b3ffe1adcb5a0,"7836882",0,2023-06-26 21:40:11.000,Не реализовано,group,143
"2ec593b432143c135b3d374460f28de50d68b9a0","7893671",0,2023-06-11 17:50:45.000,Не реализовано,group,143
"9202adc904c1b0774c44d1eb41a29e675aed3a4b","7950460",0,2023-06-20 11:10:14.000,Не реализовано,group,143
b7ebfa06447549e462cad9adc56ef18356b1f004,"8007249",0,2023-06-06 19:03:03.000,Не реализовано,group,143
